CITY NAME,ZIP,ADDRESSE ,OWNER,CARE OF,MAIL ADDRESSE,MAIL CITY,MAIL STATE,MAIL ZIP
DEBARY,32713,621 QUAIL LAKE DR,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,708 DUNCASTLE CT,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,84 DOGWOOD TR,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,289 ANCONA AVE,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,110 BRANDIWOOD CT,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,612 ASHWELL CT,IH3 PROPERTY FLORIDA LP,% ALTUS GROUP US INC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,261 ENGLENOOK DR,SFR JV-2 2023-1 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,391 PINE SPRINGS DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,621 DARTFORD CT,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,14 PARKVIEW HEIGHTS BLVD,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,391 OAK SPRINGS CT,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,370 PINE SPRINGS DR,IH3 PROPERTY FLORIDA LP,% ALTUS GROUP US INC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,14 WENTWOOD DR,IH 6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,22 WISTERIA DR,BISMUTH PROPCO SERIES LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,217 HAZELTINE DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,304 HAZELTINE DR,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,368 SPRUCE PINE DR,SFR JV-2 2023-1 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,13 CAMELIA DR,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,436 QUAIL MEADOW CT,2017-1 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,645 DARTFORD CT,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,250 LINDA VISTA ST,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,133 FERN SPRINGS ST,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,251 MANSION BLVD,2019-1 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,111 GLEN ABBEY LN,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,3001 CAT TAIL LN,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,164 DEBARY DR,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,116 BALMORAL CT,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,276 HAZELTINE DR,IH3 PROPERTY FLORIDA LP,% ALTUS GROUP US INC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,107 WENTWOOD DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,612 VIA CHRIS CT,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,284 W CONSTANCE RD,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,498 WOODFORD DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,500 DOVERTON LN,2017-1 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,648 DARTFORD CT,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,69 HOLLOW PINE DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,392 MAGNOLIA SPRINGS CT,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,213 BAYOU VISTA ST,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,221 CEDAR ELM CIR,SFR JV-HD TL BORROWER B LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,467 SYCAMORE SPRINGS ST,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,92 SPRING GLEN DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,117 AMBERGLOW CT,IH4 PROPERTY FLORIDA LP,% ALTUS GROUP US INC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,64 ALANO RD,2017-1 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,107 GLEN ABBEY LN,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,146 LUCERNE DR,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,101 HIGHLAND AVE,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,70 CRYSTAL DR,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,61 PLEASENT HILL DR,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,259 COLOMBA RD,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,379 LAZIO CIR,SFR JV-HD TL BORROWER A LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,125 SPRING GLEN DR,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,56 VALLEYWOOD DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,610 FIORELLA CT,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,31 SPRING GLEN DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,320 SABAL SPRINGS CT,IH5 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,380 SWEETWATER SPRINGS ST,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,341 OAK SPRINGS DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,144 NEEDLEWOOD LOOP,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,334 HICKORY SPRINGS CT,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,630 MOSS POINT COVE CT,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,112 FLORIDANA RD,HPA III ACQUISITIONS 1 LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,383 HICKORY SPRINGS PL,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,617 QUAIL LAKE DR,2018-4 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,260 CLARA VISTA ST,2017-1 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,400 OAK SPRINGS CT,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,604 DARTFORD CT,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,350 SYCAMORE SPRINGS ST,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DEBARY,32713,520 SOFT SHADOW LN,2017-1 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,105 SERENOLA CT,SFR JV-2 2022-1 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,313 CHARLES DR,SFR JV-HD 2024-1 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,3869 ARBORVITAE WAY,SFR JV-2 2022-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,1316 TILAPIA TR,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,2236 LITCHFIELD LOOP,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,1115 WILD OAK TER,SFR JV 1 2021 1 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,964 CASCADES PARK TR,SFR JV-2 DDTL BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,204 W TARRINGTON DR,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,2713 BURGOYNE PL,2017-1 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,614 RAVENSHILL WAY,SFR JV-2 2022-1 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,1538 SCRUB JAY CT,SFR JV-HD TL BORROWER B LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,335 HERITAGE ESTATES LN,TRICON SFR 2024-4 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,65 VIRGINIA AVE,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,1124 W VOORHIS AVE,MONTGOMERY STREET HOMES II LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,323 S MASSACHUSETTS AVE,BRODERICK STREET HOMES LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,801 WESTCHESTER DR,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,1488 BENT OAKS BLVD,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,2620 PARK LAKE DR,2017-1 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,1308 BLUE STREAM RD,IH4 PROPERTY FLORIDA LP,% ALTUS GROUP US INC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,204 ADDINGTON DR,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,1310 TALTON AVE,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,1402 WHISPERING WOODS WAY,2017-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,2316 OXMOOR DR,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,232 W TARRINGTON DR,2018-2 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,223 JACKSON LOOP,SFR JV-2 2023-1 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,3443 ARABESQUE DR,SFR JV-2 2022-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,689 E VICTORIA TRAILS BLVD,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,2030 2ND AVE,SWAY 2014 1 BORROWER LLC,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,1721 WINDWARD OAKS DR,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,310 HERITAGE ESTATES LN,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,1390 HEATHER GLEN DR,BISMUTH PROPCO SERIES LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,1403 BENT OAKS BLVD,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,257 SHERRI LEE LN,SFR JV-2 DDTL BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,1505 PLAYWRIGHT DR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,1486 BENT OAKS BLVD,2017-1 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,2319 KENNINGTON COVE,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,334 CUMBERLAND RD,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,610 S BOUNDARY AVE,SFR XII ORLANDO OWNER 1 L P,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,202 WEST FIESTA KEY LOOP,SFR JV-2 2023-1 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,2024 BUCKHANON TR,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,1065 CADES COVE WAY,IH6 PROPERTY FLORIDA LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,67 VIRGINIA AVE,2018-3 IH BORROWER LP,,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,217 MANOR VIEW LN,SFR JV-2 2024-2 BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32724,910 CRESCENT PKWY,SFR JV-2 DDTL BORROWER LLC,C/O RYAN LLC,PO BOX 4900,SCOTTSDALE,AZ,85261
DELAND,32720,905 VALLEYDALE AVE,SRP SUB LLC,,PO BOX 4900,SCOTTSDALE,AZ,85261
